time,gFx,gFy,gFz,TgF
0.00398923,-0.9874,-0.0024,0.2150,1.010
0.004234846,-0.9851,-0.0030,0.2171,1.009
0.004365538,-0.9821,-0.0021,0.2180,1.006
0.004475461,-0.9812,-0.0039,0.2171,1.005
0.005926461,-0.9788,-0.0058,0.2182,1.003
0.008366769,-0.9778,-0.0058,0.2245,1.003
0.009923154,-0.9758,-0.0065,0.2289,1.002
0.012600923,-0.9721,-0.0044,0.2353,1.000
0.014837307,-0.9693,-0.0061,0.2436,0.999
0.018828384,-0.9653,-0.0044,0.2543,0.998
0.019654538,-0.9658,-0.0046,0.2614,1.001
0.021706769,-0.9690,-0.0021,0.2700,1.006
0.024538154,-0.9704,-0.0024,0.2751,1.009
0.026946846,-0.9716,-0.0019,0.2863,1.013
0.030692077,-0.9746,0.0014,0.2921,1.017
0.035450154,-0.9753,0.0011,0.2981,1.020
0.036042769,-0.9783,0.0009,0.3023,1.024
0.036289615,-0.9778,0.0041,0.3079,1.025
0.039025615,-0.9790,0.0043,0.3086,1.026
0.041744077,-0.9778,0.0016,0.3112,1.026
0.044223461,-0.9817,0.0011,0.3124,1.030
0.046284307,-0.9817,0.0018,0.3135,1.031
0.048044384,-0.9795,0.0041,0.3139,1.029
0.050446846,-0.9785,0.0062,0.3119,1.027
0.052571692,-0.9812,0.0099,0.3135,1.030
0.054788692,-0.9795,0.0107,0.3070,1.027
0.057366846,-0.9770,0.0085,0.2993,1.022
0.059609615,-0.9729,0.0075,0.2921,1.016
0.061894154,-0.9744,0.0060,0.2834,1.015
0.06435423,-0.9712,0.0034,0.2726,1.009
0.066707769,-0.9707,0.0018,0.2641,1.006
0.070903769,-0.9700,-0.0012,0.2558,1.003
0.073601923,-0.9712,-0.0024,0.2478,1.002
0.073988692,-0.9714,-0.0037,0.2423,1.001
0.07870123,-0.9716,-0.0042,0.2397,1.001
0.07886623,-0.9704,-0.0056,0.2372,0.999
0.081075154,-0.9707,-0.0053,0.2350,0.999
