time,gFx,gFy,gFz,TgF
0.004834384,0.0006,-0.0510,0.9958,0.997
0.00545723,0.0033,-0.0510,1.0000,1.001
0.005770077,0.0015,-0.0525,1.0021,1.004
0.006042461,-0.0005,-0.0517,1.0041,1.005
0.006317769,-0.0012,-0.0554,1.0076,1.009
0.006580615,-0.0037,-0.0547,1.0097,1.011
0.008149154,-0.0020,-0.0554,1.0102,1.012
0.011162154,-0.0052,-0.0562,1.0121,1.014
0.012075384,-0.0061,-0.0552,1.0105,1.012
0.014568538,-0.0077,-0.0562,1.0130,1.015
0.016827,-0.0098,-0.0562,1.0132,1.015
0.019433538,-0.0091,-0.0564,1.0139,1.015
0.029684846,-0.0081,-0.0557,1.0130,1.015
0.030335692,-0.0105,-0.0577,1.0127,1.014
0.030635923,-0.0081,-0.0564,1.0102,1.012
0.030959,-0.0108,-0.0566,1.0112,1.013
0.035630769,-0.0066,-0.0566,1.0102,1.012
0.036184538,-0.0071,-0.0554,1.0058,1.007
0.036492307,-0.0056,-0.0562,1.0051,1.007
0.041989846,-0.0054,-0.0550,1.0016,1.003
0.042441846,-0.0032,-0.0554,0.9997,1.001
0.043124538,-0.0010,-0.0542,0.9963,0.998
0.045765538,-0.0010,-0.0542,0.9936,0.995
0.047792923,0.0028,-0.0542,0.9923,0.994
0.050007,0.0028,-0.0525,0.9872,0.989
0.052248923,0.0062,-0.0542,0.9863,0.988
0.058655307,0.0038,-0.0513,0.9853,0.987
0.05894823,0.0069,-0.0496,0.9839,0.985
0.059174769,0.0064,-0.0515,0.9841,0.985
0.061780846,0.0096,-0.0493,0.9848,0.986
0.065569538,0.0077,-0.0489,0.9831,0.984
0.066215923,0.0094,-0.0481,0.9839,0.985
0.068741461,0.0104,-0.0469,0.9851,0.986
0.071170154,0.0108,-0.0469,0.9885,0.990
0.073771923,0.0106,-0.0435,0.9909,0.992
0.077028538,0.0108,-0.0437,0.9909,0.992
0.078591384,0.0108,-0.0420,0.9926,0.994
0.081287307,0.0116,-0.0417,0.9934,0.994
0.083715615,0.0111,-0.0420,0.9965,0.997
0.08575723,0.0077,-0.0381,0.9980,0.999
0.088630692,0.0089,-0.0381,0.9985,0.999
0.090526461,0.0082,-0.0384,1.0027,1.003
0.092597769,0.0096,-0.0364,1.0041,1.005
0.095224923,0.0120,-0.0349,1.0056,1.006
0.097453154,0.0111,-0.0347,1.0060,1.007
0.100782692,0.0071,-0.0337,1.0076,1.008
0.102251923,0.0059,-0.0324,1.0083,1.009
0.104380307,0.0099,-0.0332,1.0078,1.008
0.10714423,0.0101,-0.0328,1.0088,1.009
0.110947077,0.0094,-0.0352,1.0102,1.011
0.111885846,0.0162,-0.0349,1.0139,1.015
0.113942384,0.0204,-0.0349,1.0183,1.019
0.116716538,0.0176,-0.0349,1.0142,1.015
0.118595077,0.0143,-0.0340,1.0097,1.010
0.121650154,0.0101,-0.0361,1.0046,1.005
0.127300615,0.0106,-0.0352,1.0037,1.004
