time,gFx,gFy,gFz,TgF
0.002966462,-0.9958,-0.0554,0.1509,1.009
0.003369,-0.9956,-0.0564,0.1495,1.008
0.003483462,-0.9979,-0.0566,0.1502,1.011
0.003577616,-0.9961,-0.0535,0.1514,1.009
0.00528,-0.9949,-0.0566,0.1512,1.008
0.006655154,-0.9905,-0.0559,0.1495,1.003
0.009008,-0.9954,-0.0562,0.1500,1.008
0.011818539,-0.9944,-0.0550,0.1500,1.007
0.016724616,-0.9951,-0.0557,0.1514,1.008
0.017024923,-0.9958,-0.0552,0.1530,1.009
0.020227154,-0.9951,-0.0557,0.1505,1.008
0.023796,-0.9966,-0.0574,0.1530,1.010
0.024041308,-0.9988,-0.0584,0.1498,1.012
0.028342154,-0.9963,-0.0559,0.1500,1.009
0.028573539,-0.9979,-0.0574,0.1530,1.011
0.030349,-0.9963,-0.0545,0.1521,1.009
0.032663077,-0.9983,-0.0559,0.1521,1.011
0.035191462,-0.9983,-0.0554,0.1521,1.011
0.038556308,-0.9949,-0.0577,0.1517,1.008
0.039671693,-0.9963,-0.0564,0.1519,1.009
0.042081231,-0.9979,-0.0577,0.1517,1.011
0.044227693,-0.9991,-0.0591,0.1512,1.012
0.048861616,-0.9973,-0.0542,0.1534,1.011
0.049628616,-0.9981,-0.0574,0.1509,1.011
0.051332693,-0.9981,-0.0582,0.1532,1.011
0.053776385,-0.9981,-0.0562,0.1493,1.011
0.056425539,-0.9973,-0.0577,0.1498,1.010
0.062993231,-1.0000,-0.0564,0.1526,1.013
0.063692308,-1.0024,-0.0569,0.1490,1.015
0.063821231,-1.0024,-0.0579,0.1512,1.015
0.065763385,-0.9981,-0.0613,0.1488,1.011
0.068073231,-1.0035,-0.0574,0.1505,1.016
0.071208077,-1.0022,-0.0566,0.1507,1.015
0.072771077,-1.0030,-0.0584,0.1490,1.016
0.075039462,-1.0039,-0.0589,0.1490,1.017
0.077553616,-1.0037,-0.0574,0.1505,1.017
0.080291385,-1.0039,-0.0591,0.1530,1.017
0.082589616,-1.0054,-0.0601,0.1488,1.018
0.084713308,-1.0066,-0.0569,0.1500,1.019
0.087277539,-1.0054,-0.0574,0.1505,1.018
0.089595693,-1.0059,-0.0554,0.1493,1.018
0.092299385,-1.0073,-0.0591,0.1476,1.020
0.094292308,-1.0039,-0.0566,0.1509,1.017
0.096363077,-1.0024,-0.0586,0.1495,1.015
0.098829539,-1.0015,-0.0586,0.1493,1.014
0.101206462,-1.0019,-0.0594,0.1481,1.015
0.104024923,-1.0030,-0.0562,0.1493,1.016
0.105978846,-1.0015,-0.0562,0.1495,1.014
0.108518539,-0.9991,-0.0562,0.1483,1.012
0.111505539,-0.9986,-0.0554,0.1476,1.011
0.11366677,-0.9986,-0.0547,0.1490,1.011
0.115574231,-0.9963,-0.0582,0.1483,1.009
0.121526539,-0.9968,-0.0547,0.1483,1.009
0.122015077,-0.9983,-0.0589,0.1486,1.011
0.122553923,-0.9951,-0.0584,0.1476,1.008
0.126977539,-0.9954,-0.0586,0.1474,1.008
0.127455385,-0.9973,-0.0577,0.1500,1.010
0.133072308,-0.9973,-0.0577,0.1502,1.010
0.133323693,-0.9973,-0.0574,0.1498,1.010
0.134270462,-1.0005,-0.0584,0.1498,1.013
0.136905923,-1.0012,-0.0564,0.1507,1.014
0.139093616,-1.0007,-0.0579,0.1512,1.014
0.14141177,-1.0000,-0.0571,0.1502,1.013
0.143759154,-0.9998,-0.0584,0.1512,1.013
0.156675154,-0.9991,-0.0566,0.1542,1.012
0.157273,-0.9998,-0.0577,0.1500,1.013
0.15759877,-1.0030,-0.0586,0.1509,1.016
0.157982462,-1.0028,-0.0582,0.1517,1.016
0.158296385,-1.0007,-0.0579,0.1521,1.014
