time,gFx,gFy,gFz,TgF
0.001563923,-0.2221,-0.9926,0.1178,1.024
0.001748538,-0.2202,-0.9892,0.1148,1.020
0.003244538,-0.2243,-0.9853,0.1162,1.017
0.005323923,-0.2253,-0.9892,0.1190,1.021
0.007790384,-0.2199,-0.9858,0.1180,1.017
0.011319923,-0.2194,-0.9926,0.1114,1.023
0.012730769,-0.2136,-1.0053,0.1060,1.033
0.014960308,-0.2109,-1.0097,0.1214,1.039
0.016927,-0.2138,-1.0127,0.1558,1.047
0.019419077,-0.2182,-1.0081,0.1630,1.044
0.022941231,-0.2336,-0.9953,0.1451,1.033
0.027209231,-0.2376,-0.9919,0.1185,1.027
0.027742384,-0.2246,-1.0097,0.1011,1.039
0.029059077,-0.2129,-1.0298,0.0957,1.056
0.032377769,-0.2025,-1.0437,0.0911,1.067
0.041389461,-0.2006,-1.0571,0.0869,1.080
0.042073154,-0.1955,-1.0720,0.0867,1.093
0.042318769,-0.1920,-1.0733,0.0872,1.094
0.042531615,-0.1976,-1.0589,0.0831,1.080
0.043384,-0.2078,-1.0403,0.0816,1.064
0.045409769,-0.2185,-1.0254,0.0869,1.052
0.049012,-0.2287,-1.0100,0.0899,1.039
0.050191,-0.2321,-1.0004,0.0955,1.031
0.052697231,-0.2299,-0.9934,0.0962,1.024
0.054932308,-0.2290,-0.9911,0.0943,1.022
0.057250077,-0.2236,-0.9904,0.0882,1.019
0.059548231,-0.2182,-0.9936,0.0889,1.021
0.062034384,-0.2155,-0.9968,0.0908,1.024
0.064497769,-0.2126,-1.0029,0.0955,1.030
0.066859077,-0.2099,-1.0070,0.0999,1.034
0.069327308,-0.2104,-1.0090,0.1031,1.036
0.073052923,-0.2123,-1.0085,0.1036,1.036
0.073727077,-0.2121,-1.0060,0.1018,1.033
0.076057846,-0.2131,-1.0070,0.1018,1.034
0.078476231,-0.2113,-1.0053,0.1038,1.033
0.080504846,-0.2121,-1.0032,0.1013,1.030
0.082854692,-0.2094,-0.9995,0.0987,1.026
0.085522461,-0.2074,-0.9988,0.0978,1.025
0.087726769,-0.2074,-0.9975,0.1001,1.024
0.090352923,-0.2080,-0.9953,0.1009,1.022
